"text","labels"
"так и не поняла в каком месте он маломерит рост мальчика 142 заказанный размер 146 сидит мешковато брать нужно 140 и как раз будет адекватная свобода посадки качество хорошее люблю премонт","Изменения в Операционной Деятельности"
"пришел с маленькой проженной дыркой на рукаве  материал стал хуже по сравнению с 2х летней давностью  да и прошлогодним даже если сравнивать  цвет яркий  жаль  что брак  так бы оставили  не смотря на качество материала","Проблемы с Продуктом"
"брак полностью оторвана ткань в штанине  весь наполнитель на лицо жаль  отказ","Проблемы с Продуктом"
"получила куртку со светлыми разводами на рукаве и спине что обнаружила только дома производитель не считает это браком перезаказала новую и опять с разводами и пятнами качество ткани плохое","Проблемы с Продуктом"
"отличная качественная удобная куртка на рост 140 брали 146 размер села хорошо на вырост надеюсь хватит на две зимы изза своего цвета она совсем не маркая без проблем стирается в машинке быстро сохнет в ней все продумано до мелочей мягкая подкладка из флиса съемный регулируемый капюшон внутренняя снегозащитная юбка дополнительный манжет с отверстием для пальца в рукаве два боковых кармана и один внутренний карман защита подбородка при застегивании светоотражающие элементы и я даже не все перечислила ранее две зимы подряд уже носили куртку этой фирмы и этой же коллекции только другой расцветки оранжевую я как мама осталась очень довольна курткой сын носил ее и в 5 и в 25 нос всегда был теплый а ребенок довольный рекомендую от души","Логистические Особенности"
"парка хорошая мягкая ткань хлопок но пришла с браком капюшон не доконца пришит к горловине","Проблемы с Продуктом"
"джинсы пришли с пятнами от черного маркера я естественно попросила вернуть их по браку с меня любезно списали 150 рублей за возврат благодарю в последнее время всё меньше хочется пользоваться вашими услугами уважаемый вайлдбериз надеюсь деньги за возврат 150 вернут на счет","Проблемы с Продуктом"
"курточка красивая насколько будет теплая посмотрим зимой так тоненькая но в характеристиках стоит до 30гр мороза посмотрим обидно  что взяли за 5 тысяч а сейчас такая скидка","Промо-Активности"
"пришёл брак верните деньги за доставку","Проблемы с Продуктом"
"внешний вид не соответствует описанию и картинки цвет не такой насыщенный","Проблемы с Продуктом"
"отличная парка  быстрая доставка в размер  очень тёплая","Логистические Особенности"
"товар пришёл с браком","Проблемы с Продуктом"
"рубаха отличная идет в размер на всю первую четверть хватило теперь она целая но уже удельная чернилами и красками отработала свое без проблем","Логистические Особенности"
"красивая теплая но нам пришла с браком выкупили брак заметили позже у нас частично не прошит один карман будем решать вопрос самостоятельно тк дочери очень понравилась куртка узкий рукав  это правда но опять же смирились тк дочери понравился фасон альтернативы данной куртке не нашли очень оригинальная","Проблемы с Продуктом"
"премонт радует постоянством качества сухо тепло не продувается восторг полный в размер выбираем премонт уже пять лет","Изменения в Операционной Деятельности"
"хорошее платье сшито качественно идёт в размер подойдёт детям нормальной и чуть худощавой комплекции с учетом 3х физкультур в неделю очень удобное платье ребёнок без проблем его сам снимает и одевает никаких тебе застёжке сзади и бантов","Логистические Особенности"
"пальто на 0 3 тонкое модель хорошая но нам пришел брак рукав с перекрученной подкладкой одеть не предоставилось возможным","Проблемы с Продуктом"
"быстрая доставка все супер","Логистические Особенности"
"очень понравилось все качество хорошая фурнитура флис на воротнике в капюшоне карманах подстежка пристегивается на молнию плюс плотные клапаны плотная ткань ровные швы аккуратная изнанка село все идеально запас хороший ни много ни мало быстрая доставка приятно удивлена качеством скоростью и ценой","Логистические Особенности"
"пальто хорошее но брак пошива молнии сбоку","Проблемы с Продуктом"
"отвратительное качество крояпрошит капюшон абы как иглой пробита молния разделяющая капюшон на две части делая из него воротник если расстегнуть один раз больше капюшон не застегнется отсутствовал фиксатор с одной стороны на утяжке куча торчащих ниток впервые заказала этот бренд  явно желание второй раз заказывать с таким качеством товар не захочется видимо и последний что ещё вылезет непонятно неприятно ребенок расстроенуж очень понравился рисунок и воротник но он тех функции выполнить не может  как заказать не бракованную куртку по той же модели и по той же цене","Проблемы с Продуктом"
"все отлично только отсутствует хвостик на липучке на одном рукаве явный брак но wd не признал","Проблемы с Продуктом"
"заказ пришёл вовремя заказала 2 размера 140 и 146 на рост 140 первая впритык вторая с небольшим запасом качество понравилось это уже у нас вторая куртка спасибо производителю","Логистические Особенности"
"комбинезон хороший но оказался с браком","Проблемы с Продуктом"
"супер  я в восторге  качество цена  быстрая доставка  дешевле  чем в магазине  на девочек 5 лет взяла 45","Логистические Особенности"
"отличная курточка качество очень понравилось быстрая доставка спасибо","Логистические Особенности"
"отличная пижама быстрая доставка все качественно очень яркая и красочная брать лучше больше на размет два моя дочь счастлива спасибо","Логистические Особенности"
"рубашка понравилась размер соответствует материал приятныйно у нас попалась с браком надеюсь сервис не будет вычитать 75 руб за товар который приходит с браком а поставщик уберет его и упаковка была очень странная  рубашка упакована как новая но в рваном пакете","Проблемы с Продуктом"
"настолько уже надоело ваши косяки а получается что просто так видимо заказываю и не выкупаю  рейтинг снимают а по факту присылают все подряд с браком ну не возьму я с браком а этотак и будет болтаться от одного к другому короче пятно на правом рукаве белое как от раствора спасибо носите самм","Проблемы с Продуктом"
"куртка хорошая но пришла с браком на плече не прошит рукав и поэтому дырка образовалась швы на предплечье не качественные очень жаль перезаказали","Проблемы с Продуктом"
"по размеру точь в точь без особого запаса легкий прошит хорошо штаны под грудь  спина и живот закрыты брюками и курткой еще  до этого были у нас по талии но эти теплее купила такой же еще и на вырост пока скидка","Промо-Активности"
"у костюма отсутствует фирменная нашивка на спине это брак есть строчки которые распустили и снова прошили на ткани остались следы от иглы на рост 158 без запаса на 164 будет мал","Проблемы с Продуктом"
"пришли джинсы в кульке размер 134 а фактически 140 конечно же не стали братьа которые побольше заказывали взяла старшему ребенку верните деньги которые списали за доставкусовсем уже что ли кофта sela пришла вся в пятнах написала отзыв фото приложила и тоже всё равно содрали 75 р люди то не виноваты в несоответствии размера заказанному и браке товара","Проблемы с Продуктом"
"цена слишком завышенамой рост 158мерила на 12 летутонула в длине и ширине а рукава короткие молния ужася взрослая долго мучаласьцвет шампанского конечно отпада так капюшон маленький изза этого фасон полнитпуховик был бракованный у предплечья дырка","Проблемы с Продуктом"
"пришла плохо свёрнутая и с надлом на панели поэтому отказ тк явный брак так вроде прошита не плохо вот если б нормально упаковали ещё б","Проблемы с Продуктом"
"пришли с браком так еще за доставку сняли деньги","Проблемы с Продуктом"
"куртка классная но нам пришла вся в плесени это жуть вернули причём как брак оформить нельзя мало того что изнутри чёрной плесенью покрыта воняет ужасно очень жаль что хранилась она гдето в ненадлежащих условиях перезакажем ещё раз","Проблемы с Продуктом"
"качество вроде неплохое да мембрана как плащевка не такая прочная никак не 6 как обычно у премонта и других хороших марок маломерит даже отказ","Изменения в Операционной Деятельности"
"у брюк повреждена ткань на левой штанине прошу вернуть стоимость обратной доставки не выкуплен по причине брака","Проблемы с Продуктом"
"костюм хороший нам достался немного с браком но дочь выбрала его спорить не стала как покажет в носке покажет времягорловина очень высокая на мой взгляд неудобно","Проблемы с Продуктом"
"не знаю как многим а мне понравился да без карманов пожалуй это недостаток но мы привыкли убирать варежки в капюшон прочитав отзывы была готова увидеть кривые швы но рискнула заказать и не увидела их все очень прилично ребенок 4 зимы носит только рейму есть с чем сравнить возможно многим и правда приходил брак но мне повезло сейчас комбез тоже 2 снежинки довольно тонкий сравнивала их плотность возможно чуть меньше утеплителя в самом низу штанин там где они на сапогах мы всегда надеваем поддёву по погоде термобелье флис ребенок никогда не мёрз беру всегда по распродаже на следующую зиму пока угадывала с размерами сейчас рост около 110 носим 110 этот взяла 116 посмотрим","Проблемы с Продуктом"
"куртка хорошая ребёнку понравилась но на пункте выдачи не заметили брак прострочено иглой бросается сильно в глаза от этого бренда не ожидали такого","Проблемы с Продуктом"
"на рост 157 размер 158 был мал пояс даже не застегнуть взяли 164 сели нормально есть запас талия заужена у модели почти впритык на ребёнка средней комплекции утягивать внутренними резинками не пришлось подойдут только стройным детям изза посадки по талии","Проблемы с Доставкой"
"быстрая доставка отличное платье","Логистические Особенности"
"отличная куртка хорошая горловина прикрывает шею глубокий капюшон теплая крупная змейка легко застегивать ребенку премонт всегда отличный и эта куртка не подвела размер идет стандартно с запасом 6","Изменения в Операционной Деятельности"
"крутка клевая брала себе очень тёплая не продувает заказала за 10 т  на следующий день стала 8500 пришлось заказать ещё одну  спустя два дня упала ещё на тысячу   одна из трёх была с браком на логотипе  безумно тёплая  моя любовь","Проблемы с Продуктом"
"комбез вообщем не плохой а кто не разбирается вообще огонь но может мне попался бракованный или reima совсем скатилась на дно у дочки вся верхняя одежда reima и такого я еще никогда не видела кнопки приделаны на сквозь 1 2 нормально приделана под подкладку на липучка от капюшона нет ничего мягкого  как у всех курток и комбезов reima","Проблемы с Продуктом"
"задумка хорошая но исполнение ужас ткань слишком тонкая швы коекак прорвана снизу сняли 50р за возврат товара хотя был брак и сотрудники фотографировали","Проблемы с Продуктом"
"ну додуматься капюшон с браком застрочен с перекосом эх не сфоткала думала снова заказать так ка4 куртка в целом отличная так подсунут эту же и предоплату заново надоело","Проблемы с Продуктом"
"купила близнецам две куртки через неделю сломалась молния внизу пластиковая частьобидно ремонт обошёлся в 900 руб  полностью заменая бы вернула вам эту куртку  тем более не единичный случай у вас","Изменения в Операционной Деятельности"
"пришлось оформить возврат так как на плечах бракованный шов простроченные дырки остались очень поганит вид зачем такое слать ткань сама по себе норм и цвет хороший","Проблемы с Продуктом"
"к сожалению пришел не тот размер на этикетке правильный а на самой куртке 146 обидно как брак не забрали","Проблемы с Продуктом"
"хорошее платье быстрая доставка","Логистические Особенности"
"в целом хорошая рубашка но после первой носки и стирки выехал брак на манжете и ткани","Проблемы с Продуктом"
"очень понравился джемпер и оставила бы но именно спереди какие то затяжки возможно из за бирки не знаю  но в глаза бросается перезаказала  обидно что взымается плата за возврат даже из за брака так не должно быть","Проблемы с Продуктом"
"очень разочарована премонт раньше не замечала торчащих ниток и неровных строчек на данной фирме как будто дешёвая подделка больше брать премонт не буду","Изменения в Операционной Деятельности"
"немного с браком но не критично","Проблемы с Продуктом"
"куртка хорошая ребенку подошла и понравилась но пришла с браком  по шву огромная дыра отказались сын 129 см размер заказали 134","Проблемы с Продуктом"
"куртка супер быстрая доставка","Логистические Особенности"
"влюбилась в это пальто сразу как увиделаэто премонту нас не первая вещь этого бренда качество как всегда на высотепродумано все до мелочейочень теплоеобъясню тем кто не в теметкань да плотная но она не жесткая в ней как в броне ни ветер ни дождь ни по чем несмотря на плотность ткани в ней комфортно бегать прыгать и ползатьпроверено сыном сначала сын тоже сказал она жесткая мы договорились с ним что придём домой еще раз померим и если решишь что некомфортно сдадим обратно но сын потом отказался отдавать эту куртку еще момент для тех кто говорит что в швах нет утеплителя но куртка не растягивается на теле не висит плащом она как бы дутая и эти швы остаются в складках между утеплителемя ж говорю здесь все продумано канадские и финские бренды не применяют натуральный мех наверное тут дело в гапоэтому берите однозначно не пожалеетерост сына 125 примерно худыш куртка размер 128спасибо бренду и вб за замечательную покупку","Изменения в Операционной Деятельности"
"костюм теплый хороший размеру соответствует но после первого использования дырень между ног принимать товар по браку отказались","Проблемы с Продуктом"
"ребята почти 5 5 тысяч  качество вашего бренда купила сыну брюки к 1му сентября ребёнок одел два раза после первой стирки при 30 градусах в специальном мешке с минимальными оборотами отжима специальным средством без вредных добавлений пополз шов в талии и что с этим делать у сервиса тут целый квест на возврат и признание брака а брюки по факту на выброс тут и звезду то жалко ставить оставила только за бренд приятную к телу ткань цвет всё приехали брюки скомканные не на вешалке и плюс такая радость нельзя же так вас выбирают за качество вашего бренда","Проблемы с Продуктом"
"комбез супер тонкий но тёплый  дочь в восторге спасибо продавцу всё вовремя упаковка не нарушена комбез целый сшит хорошо на рост 154 взяли 158 всё  24 гуляли не замёрзли","Логистические Особенности"
"не соответствует описанию производителя утеплитель максимум 200гр никак не 400 нужны были именно тёплые а эти скорее ближе к демисезонным ткань тонковата","Проблемы с Продуктом"
"комбез достойный на рост 114 сейчас с запасом но не критично удачное лекало для длинногих деток мембрана не шуршит колом не стоит утеплитель равномерный из минусов нитки торчат на спине чуть содрано покрытие это к сожалению увидели уже дома при примерке вообще от премонта конечно ожидала лучшего качества но за эти деньги пойдет","Изменения в Операционной Деятельности"
"второй раз привозят с браком разрыв ткани у кармана","Проблемы с Продуктом"
"футболка очень понравилась но на есть небольшой брак на воротничке буду перезаказывать","Проблемы с Продуктом"
"куртка отличная теплая дочке понравиласьно пришла с браком темное пятно на рукаве не оттирается очень расстроились брала на подароквозвратпопробую перезаказать","Проблемы с Продуктом"
"по качеству джинсы хорошие на девочку среднего телосложения но с небольшим животиком ростом 148 см подошёл размер 164в талии сели с небольшим запасом даже не пришлось утягивать попу сильно не обтянули по бёдрам то же не в натяг даже чуть свободно по длине собрались в низу чуть гармошкой но даже не стала подворачивать и так хорошо смотрятся","Проблемы с Доставкой"
"класссссвыполнение задуманного заказала чуть больше 134 размер если прям в размер то наш 128 но это худи должно быть свободно мы еще растем под теплую куртку будет жарко еще такую красоту прятать не хочется  до весны 34 месяца и только длина рукава не по размеру на первом фото картинка выключена второе  третье там все работает очень необычно интересно в магазине данного бренда стоимость 4 999р даже если учитывать все бонусы по карте а мы часто захаживаем в магазин то ценник по сравнению с wb не такой приятный 2915р  доставка быстрая упаковано в обычный пакет а самое главное для меня обладатель худи очень доволен и приятно удивлен  спасибо","Промо-Активности"
"купила комбинезон 15 января 2022 года дочь носила его конец сезона и носит сезон 2023 к сожалению качество изделия оставляет желать лучшего в 10 холодно ткань верха тонкая и в носке истирается быстро вешалка оторвалась почти сразу несколько раз зашивала по шву три звезды за красивый дизайн в остальном за такую цену хотелось бы товар лучшего качества и хотя бы на пару сезонов","Сезонные Особенности"
"потрясающая куртка пришла в индиальном состоянии не пришлось даже отпаривать молнии целытут все пишут про рукаване знаю у нас все отличноглубокие карманы что важно и телефон влезполнутью закрывает шею не важно одет капюшон или нетшея закрыта спасибо вам большое за товар","Проблемы с Доставкой"
"очень классные  но пришли с браком  перещаказала","Проблемы с Продуктом"
"отличное зимнее пальто плотная верхняя ткань куча карманов на 8 летнюю девочку ростом около 130 взяли размер 128 но это все индивидуально советую брать два пограничных размера так как разные модели курток премонт одного размера очень отличаются","Изменения в Операционной Деятельности"
"не белоснежная к тому же попался брак","Проблемы с Продуктом"
"молния не работает","Проблемы с Продуктом"
"быстрая доставка не высокая цена если сравнивать с аналогами качество все понравилось взяла размер 116 на девочку ростом 111 см вес 19 кг","Логистические Особенности"
"по мне так комбез бомба нам попался без брака очень тёплый фурнитура хорошая не поняла отзывов что тугой капюшон отлично все застегнулось и ни чего не давит на девочку 116см ростом 122 с запасом хорошим но при этом сидит все равно хорошо но я так и хотела рассчитывая на следующий сезон сейчас то уже конец зимы вопрос к продавцу есть ли шапка и краги у вас к этой модели","Проблемы с Продуктом"
"качество страдает но сам фасон очень красивый пришел бракоторвана кнопка и сейчас в пвз не помечают брак поэтому будет плутать этот пуховик долго","Проблемы с Продуктом"
"платье очень красивое но брак драный подьюбник было обидно так ещё и 75р удержали за возврат бракованного товара","Проблемы с Продуктом"
"взяли костюм на следующей сезон очень хорошая скидка была пока большеват на вырост само то качество отличное швы ровные ребёнок доволен мама счастлива  рекомендую","Промо-Активности"
"всё хорошо быстрая доставка спасибо","Логистические Особенности"
"всё было бы хорошо но нет меховой опушки предусмотренной в данном комплекте брак","Проблемы с Продуктом"
"все соответствует быстрая доставка","Логистические Особенности"
"никакого начеса нет в описании ошибка обычная петелька внутри но свитшот оставили тк ребёнок очень хотел его и качество не плохое на первый взгляд","Проблемы с Веб-Сайтом или Приложением"
"быстрая доставкакачество отличное как и всегдапижама классная","Логистические Особенности"
"носим эту фирму уже 4 года на температуру 1015 на одну водолазку на более низкие градусы поддеваем флис или шерсть при этом в нагретом автомобиле и магазинах ребенок не потеет те мембрана реально работает одного костюма хватает на 2 года носки ценакачество отличные к сожалению в этом году костюм не подошёл а мы так на него рассчитывали на рост сына 128 см вес 27кг заказала 134 рр в итоге не смогла до конца застегнуть куртку в районе ключиц и выше и на школьный кардиган руки еле пролезли в рукаваочень узкая пройма даже на футболку сын сказал что жмёт видимо модель рассчитана на совсем худеньких с узкими плечами и грудью хотя по ширине брюк все ок очень расстроились по ошибке оформила 2 костюмабыстрая отмена заказа у вайлдбериза теперь почемуто отсутствует померили на всякий случай оба комплекта к нашему сожалению это проблема фасона а не брака очень надеемся на разработку новой модели","Проблемы с Продуктом"
"на рост 135 взяли штаны с маркировкой 140 на ребёнка среднего телосложения не худого но без животика пришли с браком  без одной липучки снизу но тк нужны были срочно штаны оставили и самостоятельно пришили липучку в честь нг звезды не снижаю","Проблемы с Продуктом"
"товар естественно отличный  порадовала быстрая доставка в полярный спасибо","Логистические Особенности"
"купила ребёнку на март  начало апреля из бюджетной reima очень хорошо у меня без брака швы ровные есть запас хороший в руках и ногах те как обычно 4 запас есть должно ещё и на осень хватить","Проблемы с Продуктом"
"пальто само по себе красивое  современное но мне пришло с оторванной липучкой поэтому возврат","Проблемы с Доставкой"
"отличные брюки на полненькую девочку сели хорошо это наши вторые брюки весь прошлый год относили в школу на размер меньше качество на высоте удобные плотная ткань хорошо отглаживается не мнется практически заказали на размер больше пришли с бракованной молнией на пвз не посмотрели увидели дома подала заявку на возврат после покупки по браку надеюсь вернут деньги тк перезаказала еще раз пришли без брака выкупила","Проблемы с Продуктом"
"отличное пальто год назад покупала в магазине на ребенка 4 года размер 116 одевали весной и осенью сейчас выкупила размер 128 нам почти 5 лет рост сейчас 111см как и хотела запас есть будем носить осенью качество отличное теплое на флисе носим пальто до зимнего комбеза без какоголибо брака спасибо wb за манго и цена 1100 сказочная","Проблемы с Продуктом"
"дочка предпочла этот пуховик премонтовскому в жизни лучше чем на фото серый цвет сияющий на нашу ростовскую зиму более чем теплый на рост 140 худощавое телосложение не скажу что прям сильно велик","Изменения в Операционной Деятельности"
"комбинезон с браком даже из пакета не стала доставать отражающая лента от времени уже полопалась","Проблемы с Продуктом"
"отличное качество и хорошая скидка в середине учебного года всем рекомендую","Промо-Активности"
"куртка понравилась но нам пришла с браком разрезан рукав очень обидно","Проблемы с Продуктом"
"лучший вариант теперь буду заказывать только томас комфорт перепробуем все цвета честно говоря давно на них смотрела в группе вк ave kids связалась с менеджером посоветовали заказать на вб очень быстренько всё пришло без проблем очень довольны малыши покупкой так как в этом году это уже не первые комбинезоны первые уже все в заплатках и дырках томас прочно держит марку","Логистические Особенности"
"почитав отзывы о том что даже на худеньких пальто узкое заказа на рост дочери 132 размер 10140 надо было брать 9 до этого была приталенная модель и все сидело как влитое данное пальто широкое и на худеньких очень свободное на спинке я считаю что оно совсем не маломерит а идёт с запасом если ребёнок худой берите в размер так как и так будет запас выкупила но думаю оденем не в эту весну брака нет все отшито хорошо красивое","Проблемы с Продуктом"
"дочери куртка понравилась но был не приятный химический запах молния неисправна  и за возврат товара по браку взяли двойную плату 100","Проблемы с Продуктом"
"пришла куртка с браком ткань верхняя мне показалась тонковатой на погоду до 10 не пойдет думаю до 2 или  5","Проблемы с Продуктом"
"пальто яркое и интересное но тонкое покрытие пришла с браком порвана и подклеена на видном месте на упаковочном пакете повреждений не было соответственно упаковали заведомо повреждённое изделие следы клея присутствуют сотрудница на выдаче отметила надписью брак порвано на пакете чтобы не пересылали комуто ещё для ежедневной носки вполне подойдёт но с горки кататься в этом пальто не выйдет повреждения неминуемы тонкий материал покрытия по фактуре схож с плотным полиэтиленом","Проблемы с Продуктом"
"хорошие качественные джинсы быстрая доставка","Логистические Особенности"
"пришёл быстро на куртке спереди порезано брак или при перевозке не известно очень жаль тк костюм очень понравился а переказать нет на складе расстроилась костюм хороший качественный но возврат","Проблемы с Продуктом"
"прошу не учитывать в  выкупа но почему в одной модели брюк в разном цвете такое разное качество и размерная сетка ткань скользкая синтетика сын забраковал сразу отказ в пользу этой же модели темногосерого цвета там другая ткань","Проблемы с Продуктом"
"легенькая куртка на весну  сшита хорошо  без брака  в носке не скажу  купили на сл сезон  но да 1200 без копеек в нынешними ценами это прям отличная куртка  в люксовых брендах хуже качеством на первый взгляд приходит  для школы таскать портфель на плечах сойдёт","Проблемы с Продуктом"
"девочки это не неверное вложение а неверное описание эти брюки и должны быть полосатыми черные брюки в тонкую серую полоску если на увеличенном фото ооочень сильно присмотреться то это видно на сайте дана недостаточная информация но мы взяли у нас нет строгих требований в школе нас устраивает размер 28 очень хорошо на талию 54 см  не надо никаких утяжек вообще просто отлично сидят на худом парне рост у него 128 см  запас еще очень приличный как бы еще подшивать не пришлось мы много брюк этой фирмы перемерили  эти самые длинные см на 5 длиннее по внутреннему шву 61 5 см после стирки стали 60 5 см по ширине не сели и не деформировались брюки тоненькие что отлично у нас в школе всегда жарко второй год обращаемся к этой марке за школьной формой  очень довольны","Проблемы с Доставкой"
"хорошие брючки жаль что с браком в виде затяжки прошу не учитывать в проценте выкупа","Проблемы с Продуктом"
"пришли бракованные дома открыла  а здесь нет заклепки качество джинс не плохое но почему никто не следит за браком","Проблемы с Продуктом"
"фасон и ткань хорошие объем 28128  находка для таких худеньких как мы но вот пошив два сарафана и два брака на одном рюши несимметричны на другом юбка пришита вкось печально попробую третий раз заказать","Проблемы с Продуктом"
"хороший костюм быстрая доставка","Логистические Особенности"
"куртка отличная соответствует размеру но нам попался брак к сожалению пятнышки белые на ткани но видно что кто то ее уже мерил по этому вопрос не продавцу звезды снижать не буду","Проблемы с Продуктом"
"куртка красивая но в местах соприкосновения вся ткань вытерлась и отклеились светоотражающие элементы оставила заявку по браку вайлдберриз отказалпоставщик что скажите","Проблемы с Продуктом"
"комплект неплохой яркий взяли на следгод пока такая цена единственное ткань отличается от предыдущих комплектов премонт показалась тоньше","Изменения в Операционной Деятельности"
"отличная куртка на рост 160 взяли размер 164 с небольшим запасом самое оно очень любим эту марку правда куртку пришлось перезаказывать первая куртка пришла с браком был порез сзади в нижней части куртки может она комуто ещё попадётся смотрите повнимательнее а так все супер спасибо","Проблемы с Продуктом"
"пришла куртка немного с браком на фигуре не сидит","Проблемы с Продуктом"
"нууу что сказать и говорить не чего шикардос по качеству очень влюбились в него но переоценила возможности по объёму ребёнка возврат заказала меньше а так спасибо за возможность приобрести по скидкам","Промо-Активности"
"размер пришел 65 вместо 70 качество не плохое но ошибка с размером испортило впечатление","Проблемы с Веб-Сайтом или Приложением"
"разочарована покупкой шорты в комплекте разных размеров о чем нигде не было указано кроме этого на ткани голубых шорт в районе ширинки имеется брак в виде рисунка нанесенного чернилами синего цвета","Проблемы с Продуктом"
