"text","labels"
"костюм хороший тёплый но из минусов рукава не на резинке неудобно подкладка торчит если рукав немного подогнуть рукава очень узкие тёплую кофту уже не поддеть ребёнок худенький рост 98 взяли размер 98104 по длине и куртка и штаны с запасом большим но вот штаны совсем узенькие даже нам впритык уже даже не сесть кофту тёплую конечно не заправить будет если взять размер больше совсем длинные будут брак лямка на штанах пришита перекрученной вообщем жаль будем возврат оформлять","Events_Product_Issues"
"пальто классное тёплое хорошо сидит размер в размер но через несколько дней сломалась молния написала заявку на возврат по браку","Events_Product_Issues"
"пришли тонкие дешёвые штаны с привязанной этикеткой от штанов reima это не ошибка это мошенничество отзыв ниже есть про то же самое надеюсь их уберут","Events_Website_or_App_Issues"
"модель не плохая но качество ужасное и это за 2500р  присоединяюсь к предыдущим плохим отзывам к сожалению нитки торчат везде ткань рыхлая и просвечивает расходится по швам да ещё и продавец похоже пытается заведомо сплавить брак по цене хорошей вещи дыра уже была даже подчеркнута совести нет","Events_Product_Issues"
"почему удержали 50 рубза доставкуесли я костюм не выкупила ткбыл браки работник валдберис его зафоиксировал фото брака сделал","Events_Product_Issues"
"потрясающая куртка пришла в индиальном состоянии не пришлось даже отпаривать молнии целытут все пишут про рукаване знаю у нас все отличноглубокие карманы что важно и телефон влезполнутью закрывает шею не важно одет капюшон или нетшея закрыта спасибо вам большое за товар","Events_Delivery_Issues"
"качество ужасное в носке 3 дня лопается шов сзади где светоотражающий элемент как сделать возврат по браку при чем такая ситуация на обеих штанинах для орби и такой цены это непростительно","Events_Product_Issues"
"пишу отзыв спустя 2 года носки куртка смотрится красиво пришлось сдать швее подшить резинку на поясе пришла с небольшим браком так она смеялась абсолютно не прошит мех его тупо кинули между материалом естественно со временем он съезжает вниз скамкивается не советую брать","Events_Product_Issues"
"джинсы пришли с пятнами от черного маркера я естественно попросила вернуть их по браку с меня любезно списали 150 рублей за возврат благодарю в последнее время всё меньше хочется пользоваться вашими услугами уважаемый вайлдбериз надеюсь деньги за возврат 150 вернут на счет","Events_Product_Issues"
"кривая горловина разной длинны юбка  сзади короче отказ  платье брака сотрудник пв подтвердила","Events_Product_Issues"
"куртка пришла совсем другая к тому же бракованная порезанная на плече прошу не взимать плату за отказ","Events_Product_Issues"
"джемпер понравился к качеству нет претензий но обидно что после покупки скидка хорошая появилась","Events_Promotions"
"разочарована качеством пошива полученного платья оно пришло бракованным воздушная отделка из фатина на одном плече вся распускается от места где она пристрочена к платью и висит просто полосками полоски фатина разлазиютсякак можно было отправлять такое платье однозначно возврат ткань на платье плотная хорошая есть подклад что является большим плюсом только за это ставлю три звезды","Events_Product_Issues"
"на рост 135 взяли штаны с маркировкой 140 на ребёнка среднего телосложения не худого но без животика пришли с браком  без одной липучки снизу но тк нужны были срочно штаны оставили и самостоятельно пришили липучку в честь нг звезды не снижаю","Events_Product_Issues"
"в куртки явно бракованный замок из 3 х человек никто не смог его застегнуть но за доставку взяли","Events_Product_Issues"
"хорошая парка но пришла со сломанной молнией отправили обратно изза брака списали 100 руб проверяйте вещи перед отправкой","Events_Product_Issues"
"комплект неплохой яркий взяли на следгод пока такая цена единственное ткань отличается от предыдущих комплектов премонт показалась тоньше","Events_Operational_Changes"
"куртка очень красивая и классная но есть брак на рукове или разошёлся шов или он был не пришитый","Events_Product_Issues"
"пришла вовремя упакована просто в пакет но для меня не критично качество куртки хорошее нитки не торчат молния работает хорошо все на месте правда она тонкая но если там утеплитель под пух то возможно будет тепло в ней зимой но мы на юге живем так что сильные морозы у нас очень редко бывают сын у меня худой но куртка села хорошо плечи на месте но рукаване думаю что хватит еще и на следующую зиму но размеру соответствует до 140 подойдет смело а вот выше уже может быть короткой в рукавахсыну куртка очень понравилась еле сняла с него после примерки  очень радует что это отечественный производитель для меня это было важно к покупке однозначно рекомендую","Events_Logistical_Features"
"фатин серый как будто пыльный на спине полоса на ткани поперек лопаток плетение ткани отличаетсябрак фиолетовое лучше но размер большой кстати тоже пришло с затяжкой но её выправила наверное лучше всего черное но его нетплатье на 146 село 146158 на стройного ребенка","Events_Product_Issues"
"костюм очень понравился пришел без брака расцветка очень приятная даже лучше чем на фото перезаказала на размер меньше т к размеры уже идут 6 я думаю","Events_Product_Issues"
"платье без брака как заявлено хороший трикотажрекомендую","Events_Product_Issues"
"не знаю как на счёт штанов но курта очень хорошая теплая и сразу понятно что на хорошую зиму но к сожалению бывают отвратительные люди которые украли штаны поэтому отказ по браку перезакажу ещё раз","Events_Product_Issues"
"премонт радует постоянством качества сухо тепло не продувается восторг полный в размер выбираем премонт уже пять лет","Events_Operational_Changes"
"куртка не понравиласьшвы ужасные исчеркано ручкой в нескольких местах и просвечивает наполнительи заявку на брак не оформить потому что я её не выкупила но за возврат почему то должна платить","Events_Product_Issues"
"размер не соответствует заявленному соответствует размеру на порядок выше раньше качество было намного лучше сейчас все печально очень жаль на просьбы нет ответа полный игнор  хотя с момента получения не прошло и полу часа до обращения  ошибка по размерному ряду вина продавца но точно не покупателя","Events_Website_or_App_Issues"
"быстрая доставка товар соответствует описанию все супер","Events_Logistical_Features"
"качество супер но возврат по причине скорей всего ошибка фабрикина бирке 134р как мне надо а по факту на изделие 122р","Events_Website_or_App_Issues"
"костюм хороший но оказался брак плечо одно длиннее заказала другой на рост 162 штаны даже длинноваты","Events_Product_Issues"
"очень ждали этот пуховик но увы не оправдал ожидания качество пошива очень не аккуратно швы не прострочены все торчит может быть это брак попался но выкупать не стали хоть и цена была 1616 рублей сам пуховик лёгкий удобный подойдёт и мальчикам и девочкам","Events_Product_Issues"
"качество  был не большой брак поэтому перезаказали на худенькую девочку размер с запасом","Events_Product_Issues"
"отличная куртка хорошая горловина прикрывает шею глубокий капюшон теплая крупная змейка легко застегивать ребенку премонт всегда отличный и эта куртка не подвела размер идет стандартно с запасом 6","Events_Operational_Changes"
"на мальчика 11 лет села хорошо быстрая доставка синяя вставка привлекает внимание","Events_Logistical_Features"
"пуховик очень понравился дочери уже брали такой же старшей дочери только голубого цвета она носит его уже 2 месяца в наши морозы 30 35 показал себя очень хорошо поэтому решили купить и младшей ткань не трескается не облазит был опыт подобной ткани блестящей пуховик через неделю выглядит будто ему лет 5 очень хорошо держит тепло внутри хорошая подкладка из флиса немного сложно им застегнуть застёжку так как очень длинный пуховик но это дело привычки и цена просто сказка купли за 4079 руб по скидкам старшей дочери брали за 7990 у нас в городе единственное был небольшой брак на внутренней части не прошит участок ткани но такой брак можно не заметить и при покупке в офлайн магазине не приятно но не критично зашьём в общем пуховик рекомендую  особенно для дальневосточных зим отлично","Events_Product_Issues, Events_Promotions"
"молния не работает ни застегнуть ни расстегнуть может такая попалась просто но у другой модели этого производителя тоже молния не работала отказ","Events_Product_Issues"
"свитерок понравился по качеству материала мягкий принт симпатичный но качество исполнения отвратительное возможно мне попался с браком по швам везде дырки за счёт изнанки чёрного цвета дырки тоже чёрного цвета это очень бросается в глаза отказ с большим сожалением","Events_Product_Issues"
"купила комбинезон 15 января 2022 года дочь носила его конец сезона и носит сезон 2023 к сожалению качество изделия оставляет желать лучшего в 10 холодно ткань верха тонкая и в носке истирается быстро вешалка оторвалась почти сразу несколько раз зашивала по шву три звезды за красивый дизайн в остальном за такую цену хотелось бы товар лучшего качества и хотя бы на пару сезонов","Events_Seasonal_Features"
"пришёл бракованныйбыл порванотказ","Events_Product_Issues"
"пальто на 0 3 тонкое модель хорошая но нам пришел брак рукав с перекрученной подкладкой одеть не предоставилось возможным","Events_Product_Issues"
"куртка хорошая попалась с небольшим браком изза этого возврат","Events_Product_Issues"
"качество действительно отвратительное стало торчат нитки  они прям по всюду швы не ровные липучки пришиты тоже ещё и грязь собирают а это только примерка была жалко любили премонт теперь видимо всё надо искать чтото другое","Events_Operational_Changes"
"влюбилась в это пальто сразу как увиделаэто премонту нас не первая вещь этого бренда качество как всегда на высотепродумано все до мелочейочень теплоеобъясню тем кто не в теметкань да плотная но она не жесткая в ней как в броне ни ветер ни дождь ни по чем несмотря на плотность ткани в ней комфортно бегать прыгать и ползатьпроверено сыном сначала сын тоже сказал она жесткая мы договорились с ним что придём домой еще раз померим и если решишь что некомфортно сдадим обратно но сын потом отказался отдавать эту куртку еще момент для тех кто говорит что в швах нет утеплителя но куртка не растягивается на теле не висит плащом она как бы дутая и эти швы остаются в складках между утеплителемя ж говорю здесь все продумано канадские и финские бренды не применяют натуральный мех наверное тут дело в гапоэтому берите однозначно не пожалеетерост сына 125 примерно худыш куртка размер 128спасибо бренду и вб за замечательную покупку","Events_Operational_Changes"
"пришла бракованная","Events_Product_Issues"
"пришёл брак перед самым праздником ленту которая должна завязываться на спине прошили через грудь оно и не завязывается и ленты сбоку болтаются очень не красиво","Events_Product_Issues"
"товар пришел с бракомсветоотражающий элемент перевернут как на дешевой китайской подделкине уверена что это оригинал","Events_Product_Issues"
"на фото платье хорошо выглядит в жизни сильно отличается основная ткань бархат а вот оборки из другой ткани очень похоже на мягкую плащёвку по фото вообще не понятно что ткани разные на мой взгляд оборки из плащёвки испортили платье может комуто и понравится такая модель мы с дочерью не оценили на девочку нормальной комплекции ростом 155 село довольно свободно даже для оверсайзадумаю что на размер меньше было бы не хуже по качеству пошива всё хорошо без брака","Events_Product_Issues"
"джемпер красивый но к сожалению брак","Events_Product_Issues"
"само по себе пальто очень понравилось цвет фасон село хорошо учитывая что берём на следующий сезон не взяли по двум причинам при застегивании в районе грудной клетки попадает ткань в молнию сейчас есть осеннее пальто с такой же проблемой и уже ткань порвалась изза этого небольшой брак на левом рукаве на светоотражающей ткани фото прикладываю","Events_Product_Issues"
"быстрая доставка заказала 1301 пришла 1401  идёт в размер заказом довольна","Events_Logistical_Features"
"классный комбез оригинал reima красивый дочке очень идёт хотела привезти его из италии там на официальном сайте сейчас цена 99 евро на него на скидках смысла нет купила здесь по той же цене практически","Events_Promotions"
"хорошая куртка но брак","Events_Product_Issues"
"комбез вообщем не плохой а кто не разбирается вообще огонь но может мне попался бракованный или reima совсем скатилась на дно у дочки вся верхняя одежда reima и такого я еще никогда не видела кнопки приделаны на сквозь 1 2 нормально приделана под подкладку на липучка от капюшона нет ничего мягкого  как у всех курток и комбезов reima","Events_Product_Issues"
"хорошая куртка за 2690 руб ткань прочная и не промокающая успела купить до черной пятницы 4 тысс лишним сейчас научите своих сотрудниковукомплектовщиков не класть бракованные вещи в заказ прислали с оторванной кнопкой хорошо опять заказала 2 шт не надеясь на добросовестность сотрудников","Events_Product_Issues"
"пиджак пришёл с браком одно плечо выцветшее отказ а очень хотели взять цвет пришёл серый в полоску","Events_Product_Issues"
"курточка классная но к сожалению пришла с браком не ровный шов распороли и зашили но след осталось прям на самом видном месте на рукаве прошу вернуть деньги за не правомерно списаные за возврат товара","Events_Product_Issues"
"это либо подделка либо качество очень испортилось мы покупаем премонт уже 2 года но этот костюм не идёт в сравнение с теми что у нас были","Events_Operational_Changes"
"куртка понравилась  тёплая  длинна хорошая но пришла с браком дыра на плече","Events_Product_Issues"
"отличный комбинезон теплый прочный красивый нам все нравится дочь когда его увидела была в полном восторге вторая зима с премонт взяли еще костюм и комбинезон на весну спасибо производителю","Events_Operational_Changes"
"внешний вид не соответствует описанию и картинки цвет не такой насыщенный","Events_Product_Issues"
"брак полностью оторвана ткань в штанине  весь наполнитель на лицо жаль  отказ","Events_Product_Issues"
"пришли плохо прошиты после оного дня носки порывались на фото видно что брак","Events_Product_Issues"
"очень понравился джемпер и оставила бы но именно спереди какие то затяжки возможно из за бирки не знаю  но в глаза бросается перезаказала  обидно что взымается плата за возврат даже из за брака так не должно быть","Events_Product_Issues"
"супер  я в восторге  качество цена  быстрая доставка  дешевле  чем в магазине  на девочек 5 лет взяла 45","Events_Logistical_Features"
"качество среднее получили брак одна половинка воротника гораздо больше другой","Events_Product_Issues"
"пришел бракованный покрой хороший из  за брака отказ","Events_Product_Issues"
"комбез качества хорошего но мне пришел с браком перекручена лямка и затяжка спереди размер 98","Events_Product_Issues"
"цена слишком завышенамой рост 158мерила на 12 летутонула в длине и ширине а рукава короткие молния ужася взрослая долго мучаласьцвет шампанского конечно отпада так капюшон маленький изза этого фасон полнитпуховик был бракованный у предплечья дырка","Events_Product_Issues"
"платье понравилось и дочери и всей семье манжеты на пуговках очень удобно сделаны на рост 126 размер  128 сел тока тока носить поэтому перезаказала на размер больше  и в платье был брак дырка","Events_Product_Issues"
"брюки модели slim fit какой обычно бывают рубашки брючины заужены сами брюки низкой посадки боялась что будут сползать если ребенок сядет но вроде бы сидят отлично пока выкупили дома примерим ещё раз заказывала также жилет этой фирмы и ещё браку брюк все в такую мелкую полоску очень удобно выходит несколько комплектов утеплённых и летних вариантов","Events_Product_Issues"
"куртка классная но на плотную девочку очень объемная подойдёт для худышек выбрали другую куртку этого же бренда очень любим премонт","Events_Operational_Changes"
"пришел без бракарост 102 взяли на следующий годберем эту фирму не первый раз качество отличнопредыдущую модель относили 2 сезона ребенок часто падал но ткань не порвалась нигде","Events_Product_Issues"
"пальто хорошее но брак пошива молнии сбоку","Events_Product_Issues"
"это далеко не первый наш зимний комбинезон премонт могу сказать что это явная подделка носим 1 5 месяца и это не единственная наша зимняя одежда что могу сказать швы на штанинах буквально расползаются и внутри и снаружи на штанинах уже появились потертости производители  что это все предыдущие вещи умудрялась продавать в отличном состоянии а этот видать рассыпется","Events_Operational_Changes"
"пальто с браком возврат","Events_Product_Issues"
"комплект хороший но пришёл с браком пришел без одной лепучки и лямки не держутся","Events_Product_Issues"
"очень внешне понравилось пальто размер отлично подошёл но как в предыдущих отзывах писали узкий рукав особенно в районе манжет также куртка пришла с браком очень много торчащих ниток соответсвенно отказ и взяли другую","Events_Product_Issues"
"куртка супер без брака цвет соответствует","Events_Product_Issues"
"быстрая доставка куртка классная","Events_Logistical_Features"
"брала за 4521р классный комбез тёплый не толстый лёгкий ребёнок в  23 не замёрз не промок брала на рост 145 см немного большеват но не заметно ещё и в следующую зиму поносит заказ пришёл быстро упакован был просто в не прочный полиэтилен который в процессе доставки порвался поэтому комбез пришёл немного испачканый но не критично всё влажной тряпочкой стерлось без проблем спасибо производителю","Events_Logistical_Features"
"всё хорошо быстрая доставка спасибо","Events_Logistical_Features"
"штаны с браком ода штанина короче другой  ещё и пошита криво бээээээ","Events_Product_Issues"
"хороший качественный товар пришёл вовремя дочинька довольна","Events_Logistical_Features"
"легенькая куртка на весну  сшита хорошо  без брака  в носке не скажу  купили на сл сезон  но да 1200 без копеек в нынешними ценами это прям отличная куртка  в люксовых брендах хуже качеством на первый взгляд приходит  для школы таскать портфель на плечах сойдёт","Events_Product_Issues"
"платье красивое цвет очень праздничный отказ потому что по вине доставки напутали куда его везти в итоге задержка доставки покупателю сделали выбор в пользу другого платья которое приехало вовремя","Events_Delivery_Issues, Events_Logistical_Features"
"отличное зимнее пальто плотная верхняя ткань куча карманов на 8 летнюю девочку ростом около 130 взяли размер 128 но это все индивидуально советую брать два пограничных размера так как разные модели курток премонт одного размера очень отличаются","Events_Operational_Changes"
"шикарная рубашка плотная не светится крой удобный на девочку 148 размер 158 сел идиально с оверсайз в меру продовец прочёл мысли на расстоянии при заказе смущал карман но все ровно заказали  так как моделька супер но нам пришла блузка без карманаошибка но я ей рада спасибо производителю","Events_Website_or_App_Issues"
"футболка вся в пасте разчерчена ткань настольео тонкая что как тряпочка просьба 50р за обртдоставку вернуть товар с браком","Events_Product_Issues"
"качество супербыстрая доставка","Events_Logistical_Features"
"очень классные  но пришли с браком  перещаказала","Events_Product_Issues"
"курточка хорошая но после 2 застогиваней молнии отошла ткань от молнии разочарование прийдеться нести в ремонт  оень обидно и неприятно","Events_Operational_Changes"
"хорошие брюки купили на валдбирисе за 60 руб хотя вся школьная форма в магазинах на распродажах стоит дешевле главное дождаться конца августа","Events_Promotions"
"смотрится небрежно и еще с браком","Events_Product_Issues"
"дочери куртка понравилась но был не приятный химический запах молния неисправна  и за возврат товара по браку взяли двойную плату 100","Events_Product_Issues"
"качество куртки очень хорошее клепки как будто прорезининыдоча просто влюбилась в эту куртку сначала на сайте а потом в живую фурнитура очень хорошая все работает без проблем капюшон съёмный мех на капюшоне съёмный у капюшон есть сзади регулировка и внутри утягивающая резинка также есть внутренний карман для телефона и в нем отверстие для наушников внутри сверху флис воротник на флисе и капюшон внутри на флисе надеюсь что в мороз будет тепло в ней ткань куртки плотная но цвет больше графит чем чёрный","Events_Logistical_Features"
"комбез хороший брала сыну такой в дм только дороже сейчас решила заказать в подарок племяннику а пришел с браком толи на складе не заметили толи его уже носили","Events_Product_Issues"
"куртка отличная тёплая села по фигуре брак на рукаве но я всё равно её выкупила т к ну очень уж дочке понравилась","Events_Product_Issues"
"брак очень жаль между ног порван","Events_Product_Issues"
"привезли брак нет фирменного сердечка на банте при такой цене считаю это недопустимым в целом хорошая тонкая кофточкаобманка заказали размер поменьше надеемся там будет все на месте","Events_Product_Issues"
"мне понравился комбинезон что он продуман лямки на спине рукава на липучке защита от снега  глубокий капюшон штрипки яркий принт дизайн дочь не любитель комбезов тот оценила заказывала на выбор ещё лэсси так вот небо и земля лэсси сидит мешковато и чёрные заплатки выглядят тоже не оч кроме того тонкий материал мало наполнителя премонт неожиданно выиграл битву комбезов крайне удачная модель надеюсь первый опыт с данным брендом будет удачным касаемо размера девочка ростом 116 взяла 122 и не ошиблась запас не большой разве что широковат но не критично дочь сказала ей так удобно","Events_Operational_Changes"
"качественные но очень большие дочка 146 заказали размер 146152 утонули и в длине и в объемах заказали на размер меньше правда он 134140 посмотрим как они сядут нужны очень срочно на мероприятие хоть бы успеть а в целом стильные штаны","Events_Organizational_Event"
"отличная курточка качество очень понравилось быстрая доставка спасибо","Events_Logistical_Features"
"пальто хорошее но так до меня вовремя и не дошло","Events_Logistical_Features"
"очень очень широкие на столько что средней полноты ребёнок смотрится как в мешке утяжек нет в общем модель ну очень странная и оригинальность под большим вопросом цвет ближе к бирюзовому про цвет несколько раз задавала вопрос но мне так и не ответили и это всё при условии платного возврата","Events_Service_Issues"
"пижама пришла без брака приятная ткань на ощупь после стирки не села и не полиняла","Events_Product_Issues"
"не соответствует описанию нет ремня и фирма не boom","Events_Product_Issues"
"притензий к платью нет но оно мало мерит и замок бракованный оказался","Events_Product_Issues"
"костюм очень хороший  и качество ткани и пошив  идеально всё кроме доставки  заказала 4 и 5 размер  4й пришел дня через 23 и мы его забрали так как подошел  а 5й идёт уже 11 дней  застрял по доставке  не пойму каким образом  но мне пришло оповещение  что пришел еще один заказанный 2711 я его не заказывала  теперь придётся отказаться от двух пятёрок","Events_Delivery_Issues"
"брак рукав весь перекручен руку не засунуть цвет темнее чем на фото","Events_Product_Issues"
"очень классный и качественный комбезно вчера забрав с пв только дома уже обнаружили порез на штанине как вообще он и откуда там взялся  брак это или чтотак было неприятно это обнаружить и вот как быть возвращать жалко очень понравился дочке","Events_Product_Issues"
"отличные колготки без брака и запаха","Events_Product_Issues"
"пальто отличное быстрая доставка теплое на рост 150 подошло 164 но дочка выбрала другую модель","Events_Logistical_Features"
"товар пришел бракованный очень обидно  куртка на межсезонье отличная","Events_Product_Issues"
"на горловине брак  взяла так как заказала на подарок с брюками","Events_Product_Issues"
"комбинезон с браком даже из пакета не стала доставать отражающая лента от времени уже полопалась","Events_Product_Issues"
"куртка хорошая но пришла с большой царапиной на спине походу она к нам не первым попала с таким браком судя по отзывам","Events_Product_Issues"
"куртка супер быстрая доставка","Events_Logistical_Features"
"пришла куртка немного с браком на фигуре не сидит","Events_Product_Issues"
"здравствуйте очень хотела поставить 1 звезду вместо комплекта пришла только куртка отдала на пвз сразу как брак но 50 р все равно списали подействуйте уже как нибудь на политику вб в которой воруют у вас товары а у нас деньги костюм хороший правда брюки не оценила их не было перезакажу когда доставка станет бесплатной","Events_Product_Issues"
"оценку ставлю за отношение вб молния на платье не открывалась вообще платье примерить даже не удалось соответственно оценить тоже заявка на брак отклонена","Events_Product_Issues"
"очень классная теплая лёгкая пришла за два дня премонт как всегда радует удачная горловина не нужен шарф глубокий капюшон сыну нравится","Events_Operational_Changes"
"всё соответствует без брака","Events_Product_Issues"
"куртка пришла с браком","Events_Product_Issues"
"костюм отличный такая оценка сборщикам и недобросовестным покупателям костюм пришёл без капюшона валдберис не сделал возврат по браку тем самым снизив мой процент выкупа очень расстроилась так как хотелось выкупить костюм","Events_Product_Issues"
"оставила обращение куртка пришла вся в коричневых пятнах как и писали ниже брак","Events_Product_Issues"
"отличные брюки на полненькую девочку сели хорошо это наши вторые брюки весь прошлый год относили в школу на размер меньше качество на высоте удобные плотная ткань хорошо отглаживается не мнется практически заказали на размер больше пришли с бракованной молнией на пвз не посмотрели увидели дома подала заявку на возврат после покупки по браку надеюсь вернут деньги тк перезаказала еще раз пришли без брака выкупила","Events_Product_Issues"
"отличная качественная удобная куртка на рост 140 брали 146 размер села хорошо на вырост надеюсь хватит на две зимы изза своего цвета она совсем не маркая без проблем стирается в машинке быстро сохнет в ней все продумано до мелочей мягкая подкладка из флиса съемный регулируемый капюшон внутренняя снегозащитная юбка дополнительный манжет с отверстием для пальца в рукаве два боковых кармана и один внутренний карман защита подбородка при застегивании светоотражающие элементы и я даже не все перечислила ранее две зимы подряд уже носили куртку этой фирмы и этой же коллекции только другой расцветки оранжевую я как мама осталась очень довольна курткой сын носил ее и в 5 и в 25 нос всегда был теплый а ребенок довольный рекомендую от души","Events_Logistical_Features"
"на первый взгляд комбинезон очень понравился и мне и ребёнку начал носить его только когда реально похолодало  начало подмораживать в  в нем жарко комбинезон лёгкий удобный в даже  15 ребёнку комфортно но проносив его всего неделю в школу  отлетела кнопка на воротнике и там же разошёлся шов печалька к сожалению его уже наверное и не вернуть  придётся ремонтировать своими силами","Events_Operational_Changes"
"это просто ужас от sela я конечно такого не ожидала я конечно понимаю что скидка хорошая но это же предполагалось одеть вся куртка в комках пуха и это все просвечивает  на фото если присмотреться все видно теперь еще и сняли за доставку","Events_Promotions"
"куртка красивая дочери понравилась но за качество пошива даже 4 звезды много везде торчат нитки нашла строчку без закрепки уже начинала распускаться одна из липучек пришита наполовину на фото видно как криво пришит рукав в подмышке от премонта такого никак не ожидала","Events_Operational_Changes"
"остановились на этом костюмекачество хорошее пришло быстро без брака нитки кое где торчат но в целом нормс виду теплыйцена на мой взгляд завышена 6800 но ребенку понравился как в носке посмотрим первый раз берем эту фирму","Events_Product_Issues"
"джинсы классные первый раз на нашу тонкую талию сели идеально даже не пришлось ушивать качество хорошее джинсы для девочек с тонкой талией","Events_Delivery_Issues"
"класссссвыполнение задуманного заказала чуть больше 134 размер если прям в размер то наш 128 но это худи должно быть свободно мы еще растем под теплую куртку будет жарко еще такую красоту прятать не хочется  до весны 34 месяца и только длина рукава не по размеру на первом фото картинка выключена второе  третье там все работает очень необычно интересно в магазине данного бренда стоимость 4 999р даже если учитывать все бонусы по карте а мы часто захаживаем в магазин то ценник по сравнению с wb не такой приятный 2915р  доставка быстрая упаковано в обычный пакет а самое главное для меня обладатель худи очень доволен и приятно удивлен  спасибо","Events_Promotions"
"хорошее платье сшито качественно идёт в размер подойдёт детям нормальной и чуть худощавой комплекции с учетом 3х физкультур в неделю очень удобное платье ребёнок без проблем его сам снимает и одевает никаких тебе застёжке сзади и бантов","Events_Logistical_Features"
"дочка предпочла этот пуховик премонтовскому в жизни лучше чем на фото серый цвет сияющий на нашу ростовскую зиму более чем теплый на рост 140 худощавое телосложение не скажу что прям сильно велик","Events_Operational_Changes"
"футболка очень понравилась но на есть небольшой брак на воротничке буду перезаказывать","Events_Product_Issues"
"отличная куртка тёплая лёгкая  в размер на рост 124размер 122128 отлично с запасом быстрая доставка спасибо продавцу","Events_Logistical_Features"
"хорошая куртка качественная  яркая  без брака","Events_Product_Issues"
"неплохие но качество ткани совершенно другое чем те которые поодают в магазине там ткпнь плотнее специально носила сравниватьи по размерам заказала 146 пришел с небольшим бракомзатяжка перезаказала такой же размер в итоге пришел размер такой же но длина на 4 см короче вопрос производителю почему такое отличие от офлайн магазина легальный ли это пошив","Events_Product_Issues"
"купила близнецам две куртки через неделю сломалась молния внизу пластиковая частьобидно ремонт обошёлся в 900 руб  полностью заменая бы вернула вам эту куртку  тем более не единичный случай у вас","Events_Operational_Changes"
"куртка понравилась подошла по размеру номолния не работает работник также видела это брак не оформили видно что куртку уже не раз мерили деньги за отказ у меня сняли","Events_Product_Issues"
"ну додуматься капюшон с браком застрочен с перекосом эх не сфоткала думала снова заказать так ка4 куртка в целом отличная так подсунут эту же и предоплату заново надоело","Events_Product_Issues"
